Filename,Model_Type,Dim,Window,Neg,Clustering_Score,Valid_Words
skipgram_d200_w7_n10.model,skipgram,200,7,10,0.0121,43
skipgram_d50_w7_n5.model,skipgram,50,7,5,0.0116,43
cbow_d200_w3_n5.model,cbow,200,3,5,0.0114,44
cbow_d350_w5_n5.model,cbow,350,5,5,0.0109,44
skipgram_d350_w3_n5.model,skipgram,350,3,5,0.0104,44
skipgram_d200_w7_n15.model,skipgram,200,7,15,0.0102,43
cbow_d350_w10_n5.model,cbow,350,10,5,0.0101,44
skipgram_d200_w7_n5.model,skipgram,200,7,5,0.01,43
skipgram_d50_w7_n10.model,skipgram,50,7,10,0.01,43
skipgram_d100_w7_n5.model,skipgram,100,7,5,0.0098,43
skipgram_d50_w3_n10.model,skipgram,50,3,10,0.0094,43
cbow_d350_w5_n10.model,cbow,350,5,10,0.0092,44
skipgram_d200_w3_n5.model,skipgram,200,3,5,0.0089,44
skipgram_d50_w5_n10.model,skipgram,50,5,10,0.0085,43
skipgram_d350_w3_n10.model,skipgram,350,3,10,0.0076,44
skipgram_d300_w3_n5.model,skipgram,300,3,5,0.0073,44
cbow_d350_w3_n15.model,cbow,350,3,15,0.0068,44
cbow_d100_w3_n5.model,cbow,100,3,5,0.0068,44
skipgram_d300_w3_n15.model,skipgram,300,3,15,0.0067,44
cbow_d200_w3_n10.model,cbow,200,3,10,0.0065,44
skipgram_d100_w3_n20.model,skipgram,100,3,20,0.0065,44
cbow_d300_w3_n20.model,cbow,300,3,20,0.0062,44
cbow_d350_w8_n5.model,cbow,350,8,5,0.006,44
cbow_d300_w3_n10.model,cbow,300,3,10,0.006,44
skipgram_d100_w3_n10.model,skipgram,100,3,10,0.0057,44
skipgram_d50_w5_n15.model,skipgram,50,5,15,0.0057,43
cbow_d100_w8_n20.model,cbow,100,8,20,0.0056,44
cbow_d350_w3_n5.model,cbow,350,3,5,0.0056,44
skipgram_d300_w3_n10.model,skipgram,300,3,10,0.0055,44
skipgram_d350_w3_n20.model,skipgram,350,3,20,0.0054,44
skipgram_d100_w3_n5.model,skipgram,100,3,5,0.0054,44
cbow_d100_w3_n20.model,cbow,100,3,20,0.0053,44
cbow_d350_w3_n20.model,cbow,350,3,20,0.0053,44
skipgram_d200_w3_n10.model,skipgram,200,3,10,0.005,44
skipgram_d350_w3_n15.model,skipgram,350,3,15,0.0048,44
skipgram_d200_w3_n20.model,skipgram,200,3,20,0.0043,44
skipgram_d50_w5_n5.model,skipgram,50,5,5,0.0041,43
skipgram_d100_w3_n15.model,skipgram,100,3,15,0.004,44
cbow_d300_w3_n5.model,cbow,300,3,5,0.0038,44
cbow_d100_w3_n15.model,cbow,100,3,15,0.0036,44
cbow_d350_w5_n15.model,cbow,350,5,15,0.0033,44
cbow_d350_w5_n20.model,cbow,350,5,20,0.0031,44
skipgram_d200_w10_n20.model,skipgram,200,10,20,0.003,44
cbow_d350_w3_n10.model,cbow,350,3,10,0.0028,44
skipgram_d100_w10_n10.model,skipgram,100,10,10,0.0027,44
cbow_d100_w10_n20.model,cbow,100,10,20,0.0027,44
skipgram_d200_w5_n20.model,skipgram,200,5,20,0.0027,44
cbow_d200_w5_n20.model,cbow,200,5,20,0.0026,44
skipgram_d200_w3_n15.model,skipgram,200,3,15,0.0026,44
skipgram_d300_w3_n20.model,skipgram,300,3,20,0.0026,44
skipgram_d300_w10_n20.model,skipgram,300,10,20,0.0021,44
skipgram_d350_w5_n10.model,skipgram,350,5,10,0.0021,44
cbow_d100_w5_n20.model,cbow,100,5,20,0.0017,44
cbow_d350_w10_n15.model,cbow,350,10,15,0.0016,44
skipgram_d100_w10_n15.model,skipgram,100,10,15,0.0015,44
skipgram_d350_w10_n20.model,skipgram,350,10,20,0.0013,44
skipgram_d100_w7_n10.model,skipgram,100,7,10,0.0011,43
skipgram_d50_w7_n15.model,skipgram,50,7,15,0.001,43
cbow_d200_w3_n20.model,cbow,200,3,20,0.0009,44
